feature,importance
Attribute1_A14,0.18096088884938016
duration_amount_ratio,0.07134561244418207
Attribute2,0.07116614260140079
age_installment_ratio,0.060506013821845624
Attribute3_A34,0.05795669284220445
Attribute5,0.05380944966877696
Attribute13,0.04754605952691857
Attribute4,0.04233901307239473
Attribute8,0.03649650233780476
Attribute1_A12,0.034258118894669586
Attribute11,0.031829296700399044
Attribute9_A92,0.030761847258044803
Attribute19_A192,0.026797828784094754
Attribute14_A143,0.02541458747675224
Attribute6_A65,0.02388317666587714
Attribute3_A32,0.0175889244511495
Attribute15_A152,0.014192542764221813
Attribute12_A123,0.013086429154464379
Attribute12_A124,0.012654916136235303
Attribute12_A122,0.011991004745713069
Attribute9_A93,0.011698484254594424
Attribute17_A173,0.011467059391475494
Attribute16,0.011350915092860854
Attribute7_A73,0.010759080621324168
Attribute10_A103,0.010629723492246546
Attribute7_A74,0.008875284971386652
Attribute7_A75,0.008688279340517116
Attribute7_A72,0.00818220685790752
Attribute17_A174,0.006925722330057072
Attribute9_A94,0.0062917261751473065
Attribute1_A13,0.00596257623080919
Attribute17_A172,0.005784346273716176
Attribute18,0.005590324493745511
Attribute15_A153,0.0038841719031752707
Attribute6_A63,0.0037337435712113316
Attribute6_A64,0.0036906641366945066
Attribute6_A62,0.003544211129288105
Attribute14_A142,0.0023257101733694745
Attribute20_A202,0.0021491865557672096
Attribute3_A33,0.0019801546758870347
Attribute10_A102,0.0010032021414571476
Attribute3_A31,0.0008981779908320381
